Title,URL,Domains
Cisco Certified Network Professional (CCNP) Collaboration,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/collaboration/ccnp-collaboration/index.html,
Cisco Certified Internetwork Expert (CCIE) Collaboration,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/collaboration/ccie-collaboration/index.html,
Cisco Certified Support Technician (CCST) Cybersecurity,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/support-technician/index.html,
Cisco Certified Cybersecurity Associate,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/cybersecurity/associate/index.html,
Cisco Certified Cybersecurity Professional,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/cybersecurity/professional/index.html,
Cisco Certified Network Professional (CCNP) Data Center,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/datacenter/ccnp-data-center/index.html,
Cisco Certified Internetwork Expert (CCIE) Data Center,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/datacenter/ccie-data-center/index.html,
Cisco Certified Design Expert (CCDE),https://www.cisco.com/site/us/en/learn/training-certifications/certifications/design/ccde/index.html,
Cisco Certified DevNet Associate,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/devnet/associate/index.html,
Cisco Certified DevNet Professional,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/devnet/professional/index.html,
Cisco Certified DevNet Expert,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/devnet/expert/index.html,
Cisco Certified Support Technician (CCST) Networking,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/support-technician/index.html,
Cisco Certified Network Associate (CCNA),https://www.cisco.com/site/us/en/learn/training-certifications/certifications/enterprise/ccna/index.html,Network Fundamentals; Network Access; IP Connectivity; IP Services; Security Fundamentals; Automation and Programmability
Cisco Certified Network Professional (CCNP) Enterprise,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/enterprise/ccnp-enterprise/index.html,Architecture; Virtualization; Infrastructure; Network Assurance; Security; Automation
Cisco Certified Internetwork Expert (CCIE) Enterprise Infrastructure,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/enterprise/ccie-enterprise-infrastructure/index.html,
Cisco Certified Internetwork Expert (CCIE) Enterprise Wireless,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/enterprise/ccie-enterprise-wireless/index.html,
Cisco Certified Network Professional (CCNP) Security,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/security/ccnp-security/index.html,
Cisco Certified Internetwork Expert (CCIE) Security,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/security/ccie-security/index.html,
Cisco Certified Network Professional (CCNP) Service Provider,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/service-provider/ccnp-service-provider/index.html,
Cisco Certified Internetwork Expert (CCIE) Service Provider,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/service-provider/ccie-service-provider/index.html,
Cisco Certified Field Technician (CCT),https://www.cisco.com/site/us/en/learn/training-certifications/certifications/technician/index.html,
Cisco Certified Support Technician (CCST) IT Support,https://www.cisco.com/site/us/en/learn/training-certifications/exams/ccst-it-support.html,
